id,name,address,latitude,longitude,kickboard,bicycle
239,도산동 행정복지센터 주차장,광주광역시 광산구 도산로 12,35.1294537,126.791688,4,2
240,수완동 행정복지센터 주차장,광주광역시 광산구 장덕로 158,35.1960291,126.8187354,4,2
241,운남어린이도서관 주차장,광주광역시 광산구 목련로217번길 10,35.1730207,126.8219798,4,2
242,공무원교육원 주차장,광주광역시 광산구 소촌로152번길 53-27,35.1602169,126.7958705,4,2
243,농업기술센터 주차장,광주광역시 광산구 평동로 639-22,35.1289153,126.7436149,4,2
244,수완인라인롤러경기장 주차장,광주광역시 광산구 장덕로96번길 15,35.1929312,126.8195864,4,2
245,광주소방학교 주차장,광주광역시 광산구 소촌로152번길 53-84,35.1613834,126.7983394,4,2
246,동곡동 행정복지센터 주차장,광주광역시 광산구 동곡로 151-56,35.0986392,126.7721248,4,2
247,첨단2동 행정복지센터 주차장,광주광역시 광산구 첨단중앙로124번길 24,35.2163259,126.8434675,4,2
248,운남동 행정복지센터 주차장,광주광역시 광산구 목련로217번길 10,35.1730207,126.8219798,4,2
249,우산동 행정복지센터 주차장,광주광역시 광산구 무진대로 246-12,35.1600533,126.8070398,4,2
250,월곡2동 행정복지센터 주차장,광주광역시 광산구 산정공원로72번길 21-12,35.1743435,126.8077587,4,2
251,비아동 행정복지센터 주차장,광주광역시 광산구 비아중앙로31번길 6,35.2220825,126.8243314,4,0
252,신가동 행정복지센터 주차장,광주광역시 광산구 신가로 30,35.1816767,126.8276627,4,0
253,신창동 행정복지센터 주차장,광주광역시 광산구 왕버들로 291,35.1956384,126.8409058,4,0
254,신가도서관 주차장,광주광역시 광산구 신가로40번길 24,35.1827519,126.8285849,4,0
255,월곡 2동 주민센터 앞 공영주차장,광주광역시 광산구 월곡동 산정공원로72번길 21,35.1743165,126.8074857,4,0
256,신흥동 공영주차장,광주광역시 광산구 신촌동 신흥동안길 9,35.1452689,126.8006328,4,0
257,진곡일반산업단지 주차장1,광주광역시 광산구 고룡동 임곡로 425,35.2025191,126.7777662,4,0
258,진곡일반산업단지 주차장2,광주광역시 광산구 진곡동 진곡산단중앙로 224,35.210749,126.781454,4,0
259,진곡일반산업단지주차장3,광주광역시 광산구 오선동 진곡산단2번로 80,35.210749,126.781454,4,0
260,진곡일반산업단지주차장4,광주광역시 광산구 오선동 진곡산단2번로 82,35.2036906,126.8031498,4,0
261,진곡일반산업단지주차장5,광주광역시 광산구 오선동 진곡산단2번로 58,35.133521,126.7645322,4,0
262,진곡일반산업단지주차장6,광주광역시 광산구 오선동 진곡산단2번로 76,35.2036906,126.8031498,4,0
263,진곡일반산업단지주차장7,광주광역시 광산구 오선동 진곡산단3번로 54,35.2036906,126.8031498,4,0
264,진곡일반산업단지주차장8,광주광역시 광산구 오선동 진곡산단3번로 54,35.2036906,126.8031498,4,0
265,진곡일반산업단지주차장9,광주광역시 광산구 고룡동 진곡산단중앙로 244,35.210749,126.781454,4,0
266,진곡일반산업단지주차장10,광주광역시 광산구 진곡동 진곡산단5번로 43,35.2136961,126.7905607,4,0
267,진곡일반산업단지주차장11,광주광역시 광산구 진곡동 진곡산단4번로 63,35.2136961,126.7905607,4,0
268,진곡일반산업단지주차장12,광주광역시 광산구 오선동 진곡산단2번로 1,35.2036906,126.8031498,4,0
269,진곡일반산업단지주차장13,광주광역시 광산구 진곡동 진곡산단5번로 75,35.2136961,126.7905607,4,0
270,비아동 공영주차장,광주광역시 광산구 비아동 비아중앙로31번길 6,35.2220825,126.8243314,4,0
271,야촌마을공영주차장,광주광역시 광산구 신촌동 야촌길 34,35.1394424,126.8062981,4,0
272,비아 5일시장 제2공영주차장,광주광역시 광산구 비아동 비아동원촌길 17,35.220633,126.8258066,4,0
273,평동 종합 비즈니스센터 주차장,광주광역시 광산구 평동산단로 184-1,35.1232343,126.7686773,4,0
274,운남동 공영주차장,광주광역시 광산구 목련로219번길 112,35.1762376,126.8234935,4,0
275,광산구 공익활동지원센터 주차장,광주광역시 광산구 장덕로96번길 15,35.1929312,126.8195864,4,0
276,신가공영유료주차장,광주광역시 광산구 수능로 242,35.1849231,126.835284,4,0
277,원동 공영주차장,광주광역시 광산구 송정동 내상로33번길 111,35.1419769,126.8016161,4,0
278,하남산단근로자주차장,광주광역시 광산구 장덕동 하남산단4번로 132,35.1939509,126.8071044,4,0
